framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,QuickGbE,none,DeleteInsert,delete_4,3,Failed,1,0,0,0,0,3.300001844763756e-05,0.00024199998006224632,0.00021199998445808887,0.0002749999985098839,14,14,6,9.0,9.0
Quick,QuickGbE,none,DeleteInsert,delete_4,4,Failed,1,0,0,0,0,3.400002606213093e-05,0.0002519999397918582,0.0005629999795928597,0.0002859999658539891,6,6,6,2.0,2.0
Quick,QuickGbE,none,DeleteInsert,delete_4,5,Failed,2,0,0,0,0,2.799986395984888e-05,0.00022200006060302258,0.00022300006821751597,0.00024999992456287146,22,22,6,16.0,16.0
Quick,QuickGbE,none,DeleteInsert,delete_4,6,Failed,2,0,0,0,0,2.2999942302703857e-05,0.0002280001062899828,0.00020599993877112863,0.00025100004859268665,6,6,6,1.0,1.0
Quick,QuickGbE,none,DeleteInsert,delete_4,7,Failed,2,0,0,0,0,2.1999934688210487e-05,0.0002429999876767397,0.0002530000638216734,0.0002649999223649502,6,6,6,2.0,2.0
Quick,QuickGbE,none,DeleteInsert,delete_4,8,Failed,1,0,0,0,0,2.0000035874545578e-05,0.00021700002253055573,0.00020599993877112863,0.0002370000584051013,6,6,6,2.0,2.0
Quick,QuickGbE,none,DeleteInsert,delete_4,9,Failed,2,0,0,0,0,2.3999949917197227e-05,0.0002150001237168908,0.0002139999996870756,0.00023900007363408804,14,14,6,9.0,9.0
Quick,Quick,none,InsertDelete,delete_4,0,Failed,0,1,0,0,0,1.600012183189392e-05,0.00022799987345933911,0.0002180000301450491,0.00024399999529123304,6,6,6,3.0,3.0
Quick,Quick,none,InsertDelete,delete_4,1,Failed,0,6,0,0,0,2.3000058718025684e-05,0.00022999988868832588,0.00022599997464567423,0.00025299994740635157,6,6,6,3.0,3.0
Quick,Quick,none,InsertDelete,delete_4,2,Failed,0,1,0,0,0,2.1000043489038944e-05,0.00023999996483325958,0.0004279999993741512,0.0002610000083222985,6,6,6,3.0,3.0
