framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,6,Failed,22,22851,0,0,0,0.01393600134178996,0.013282998465001583,0.00024099997244775295,0.027218999806791544,70,70,19,72.0,72.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,7,Failed,122,207977,0,0,0,0.12353899679146708,0.11186500312760471,0.000475000124424696,0.2354039999190718,70,70,19,70.0,70.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,8,Failed,346,737801,0,0,0,0.43654301878996193,0.3922829811926931,0.00026899995282292366,0.828825999982655,91,91,19,98.0,98.0
Quick,Quick,default,SinglePreserve,tshift_all_no_incr,9,Failed,362,697165,0,0,0,0.4097120054066181,0.3681649947538972,0.0004619997926056385,0.7778770001605153,34,34,19,23.0,23.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,0,Failed,79,189998,0,0,0,0.11629101098515092,0.10489698895253245,0.000467000063508749,0.22118799993768337,83,83,19,87.0,87.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,1,Failed,4,14405,0,0,0,0.009042000863701103,0.008435999043285848,0.00028300005942583084,0.017477999906986952,77,77,19,79.0,79.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,2,Failed,28,65931,0,0,0,0.04018499795347452,0.03696900187060237,0.0004590000025928021,0.07715399982407689,44,44,19,39.0,39.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,3,Failed,38,65174,0,0,0,0.03910999326035381,0.03611500677652656,0.000467000063508749,0.07522500003688037,40,40,19,28.0,28.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,4,Failed,824,1602921,0,0,0,0.9369290177710354,0.8460539821535349,0.0004590000025928021,1.7829829999245703,40,40,19,28.0,28.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,5,Failed,154,294228,0,0,0,0.1766819895710796,0.16215101047419012,0.0004640000406652689,0.3388330000452697,64,64,19,61.0,61.0
Quick,Quick,default,MultiPreserve,tshift_all_no_incr,6,Failed,33,82840,0,0,0,0.050435992423444986,0.046043007634580135,0.000421999953687191,0.09647900005802512,62,62,19,58.0,58.0
