framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,SinglePreserve,shift_abs_no_incr,9,Failed,228659,449361,0,0,0,0.2501299995929003,0.3617680002935231,0.00045000016689300537,0.6118979998864233,20,20,16,5.0,5.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,0,Failed,832882,1639714,0,0,0,0.9854550005402416,1.3221659993287176,0.0005480002146214247,2.307620999868959,29,29,16,14.0,14.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,1,Failed,231388,456096,0,0,0,0.27400603191927075,0.3702729681972414,0.0005329998675733805,0.6442790001165122,21,21,16,5.0,5.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,2,Failed,543946,1069950,0,0,0,0.6426750193350017,0.8587309806607664,0.000493000028654933,1.501405999995768,20,20,16,5.0,5.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,3,Failed,505299,996636,0,0,0,0.6015969871077687,0.8093120127450673,0.0004610000178217888,1.410908999852836,16,16,16,0.0,0.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,4,Failed,2297586,4526968,0,0,0,2.7123840211424977,3.6428849790245295,0.0005579998251050711,6.355269000167027,40,40,16,24.0,24.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,5,Failed,1012143,1995932,0,0,0,1.1986960137728602,1.602096986258402,0.000538000138476491,2.800793000031262,24,24,16,8.0,8.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,6,Failed,55500,108688,0,0,0,0.06593699404038489,0.08863500598818064,0.000530000077560544,0.15457200002856553,52,52,16,36.0,36.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,7,Failed,1250693,2463193,0,0,0,1.477379993069917,1.982677006861195,0.0004869999829679728,3.460056999931112,20,20,16,4.0,4.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,8,Failed,79949,157793,0,0,0,0.0952439969405532,0.12740100314840674,0.0005240000318735838,0.22264500008895993,20,20,16,4.0,4.0
Quick,Quick,none,MultiPreserve,shift_abs_no_incr,9,Failed,1857514,3665156,0,0,0,2.215854990761727,2.997866009362042,0.000530000077560544,5.213721000123769,20,20,16,5.0,5.0
Quick,Quick,none,SinglePreserve,subst_var_all,0,Failed,795538,1572169,0,0,0,0.8818980569485575,1.270426943199709,0.0005699999164789915,2.1523250001482666,44,44,20,30.0,30.0
Quick,Quick,none,SinglePreserve,subst_var_all,1,Failed,569721,1123382,0,0,0,0.6219010227359831,0.8950299771968278,0.0004950000438839197,1.5169309999328109,44,44,20,30.0,30.0
Quick,Quick,none,SinglePreserve,subst_var_all,2,Failed,1099714,2166687,0,0,0,1.205185002880171,1.7454999971669167,0.0005020000971853733,2.9506850000470877,44,44,20,31.0,31.0
Quick,Quick,none,SinglePreserve,subst_var_all,3,Failed,1052271,2073950,0,0,0,1.1609860346652567,1.6742039653472602,0.0005639998707920313,2.835190000012517,20,20,20,0.0,0.0
Quick,Quick,none,SinglePreserve,subst_var_all,4,Failed,377627,741786,0,0,0,0.4131430003326386,0.5985179997514933,0.0005240000318735838,1.011661000084132,40,40,20,27.0,27.0
Quick,Quick,none,SinglePreserve,subst_var_all,5,Failed,61654,120694,0,0,0,0.06647500186227262,0.09838099800981581,0.0005390001460909843,0.16485599987208843,40,40,20,27.0,27.0
Quick,Quick,none,SinglePreserve,subst_var_all,6,Failed,523168,1031952,0,0,0,0.5746710242237896,0.8343909757677463,0.000565999886021018,1.409061999991536,20,20,20,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_all,7,Failed,396958,784573,0,0,0,0.4306980206165463,0.6273039793595672,0.0005379999056458473,1.0580019999761134,56,56,20,41.0,41.0
Quick,Quick,none,SinglePreserve,subst_var_all,8,Failed,155538,305666,0,0,0,0.16961502353660762,0.24542697635479271,0.000547999981790781,0.41504199989140034,32,32,20,19.0,19.0
Quick,Quick,none,SinglePreserve,subst_var_all,9,Failed,225307,442903,0,0,0,0.24717499478720129,0.354546005371958,0.0005299998447299004,0.6017210001591593,40,40,20,26.0,26.0
Quick,Quick,none,MultiPreserve,subst_var_all,0,Failed,77087,152454,0,0,0,0.09039699914865196,0.12372600077651441,0.0005430001765489578,0.21412299992516637,40,40,20,28.0,28.0
Quick,Quick,none,MultiPreserve,subst_var_all,1,Failed,160654,317902,0,0,0,0.19490999798290431,0.2569600020069629,0.000556000042706728,0.4518699999898672,48,48,20,36.0,36.0
Quick,Quick,none,MultiPreserve,subst_var_all,2,Failed,277570,548603,0,0,0,0.3253250112757087,0.44121698872186244,0.0005570000503212214,0.7665419999975711,36,36,20,24.0,24.0
Quick,Quick,none,MultiPreserve,subst_var_all,3,Failed,625974,1236953,0,0,0,0.73866395233199,0.9904650477692485,0.0005499999970197678,1.7291290001012385,52,52,20,38.0,38.0
Quick,Quick,none,MultiPreserve,subst_var_all,4,Failed,20055,39098,0,0,0,0.02412200765684247,0.031807992374524474,0.0005429999437183142,0.055930000031366944,44,44,20,30.0,30.0
Quick,Quick,none,MultiPreserve,subst_var_all,5,Failed,397166,782999,0,0,0,0.4727180013433099,0.6302329986356199,0.0003459998406469822,1.1029509999789298,48,48,20,36.0,36.0
Quick,Quick,none,MultiPreserve,subst_var_all,6,Failed,112831,220984,0,0,0,0.1320659965276718,0.17736500338651243,0.0005779999773949385,0.3094309999141842,40,40,20,25.0,25.0
Quick,Quick,none,MultiPreserve,subst_var_all,7,Failed,666738,1311135,0,0,0,0.7864230186678469,1.051267981296405,0.0005580000579357147,1.837690999964252,20,20,20,1.0,1.0
Quick,Quick,none,MultiPreserve,subst_var_all,8,Failed,65520,129695,0,0,0,0.07823798153549433,0.10413001850247383,0.0005139999557286501,0.18236800003796816,48,48,20,36.0,36.0
Quick,Quick,none,MultiPreserve,subst_var_all,9,Failed,1243892,2458581,0,0,0,1.4641620109323412,1.9627849890384823,0.000547999981790781,3.4269469999708235,52,52,20,39.0,39.0
Quick,Quick,none,SinglePreserve,subst_var_none,0,Failed,16462,32472,0,0,0,0.025692989584058523,0.040191010339185596,0.0005760001949965954,0.06588399992324412,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,1,Failed,358613,706304,0,0,0,0.3920080221723765,0.563525977777317,0.0005169999785721302,0.9555339999496936,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,2,Failed,956403,1886093,0,0,0,1.0960420051123947,1.6439809950534254,0.000547999981790781,2.74002300016582,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,3,Failed,77512,153223,0,0,0,0.08450300642289221,0.12406899337656796,0.0005070001352578402,0.20857199979946017,48,48,12,36.0,36.0
Quick,Quick,none,SinglePreserve,subst_var_none,4,Failed,198416,391308,0,0,0,0.2163889836519957,0.3141980164218694,0.000536999898031354,0.5305870000738651,20,20,12,9.0,9.0
Quick,Quick,none,SinglePreserve,subst_var_none,5,Failed,159666,313677,0,0,0,0.17197200655937195,0.2526759933680296,0.0005310000851750374,0.42464799992740154,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,6,Failed,420269,828824,0,0,0,0.45892202807590365,0.6632639719173312,0.0005319998599588871,1.1221859999932349,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,7,Failed,216790,428250,0,0,0,0.23568498343229297,0.3440350166056305,0.00028200005181133747,0.5797200000379235,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,8,Failed,125848,248078,0,0,0,0.13636799482628703,0.19984800508245826,0.0004259999841451645,0.3362159999087453,12,12,12,1.0,1.0
Quick,Quick,none,SinglePreserve,subst_var_none,9,Failed,221359,437258,0,0,0,0.24261798383668065,0.35337701626122,0.0005630000960081816,0.5959950000979006,32,32,12,20.0,20.0
Quick,Quick,none,MultiPreserve,subst_var_none,0,Failed,446727,883667,0,0,0,0.5317359690088779,0.713943030918017,0.00045599997974932194,1.245678999926895,12,12,12,1.0,1.0
Quick,Quick,none,MultiPreserve,subst_var_none,1,Failed,87067,171835,0,0,0,0.10422200872562826,0.13988599134609103,0.0005119999404996634,0.2441080000717193,20,20,12,10.0,10.0
Quick,Quick,none,MultiPreserve,subst_var_none,2,Failed,364875,719286,0,0,0,0.43331400281749666,0.5819949971046297,0.0005390001460909843,1.0153089999221263,44,44,12,33.0,33.0
Quick,Quick,none,MultiPreserve,subst_var_none,3,Failed,440143,869441,0,0,0,0.5186320412904024,0.7031279588118196,0.0005429999437183142,1.221760000102222,32,32,12,21.0,21.0
Quick,Quick,none,MultiPreserve,subst_var_none,4,Failed,476817,941102,0,0,0,0.5631559933535755,0.7582080066204071,0.0002620001323521137,1.3213639999739826,56,56,12,44.0,44.0
Quick,Quick,none,MultiPreserve,subst_var_none,5,Failed,403155,796414,0,0,0,0.4806649696547538,0.6513110303785652,0.0004339998122304678,1.131976000033319,12,12,12,0.0,0.0
Quick,Quick,none,MultiPreserve,subst_var_none,6,Failed,96509,191002,0,0,0,0.11545300856232645,0.1560139914508909,0.0004650000482797622,0.27146700001321733,20,20,12,10.0,10.0
Quick,Quick,none,MultiPreserve,subst_var_none,7,Failed,1079059,2125096,0,0,0,1.2766929580830038,1.7168490418698639,0.000528999837115407,2.9935419999528676,44,44,12,32.0,32.0
Quick,Quick,none,MultiPreserve,subst_var_none,8,Failed,567150,1121853,0,0,0,0.6740050106309354,0.9038129893597215,0.0004710000939667225,1.577817999990657,12,12,12,1.0,1.0
