framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,InsertPost,insert_1,4,Failed,7700,17515,0,0,0,0.02056699967943132,0.017966000363230705,0.00026599992997944355,0.038533000042662024,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_1,5,Failed,13524,30710,0,0,0,0.030386999365873635,0.027275000582449138,0.0002560000866651535,0.05766199994832277,24,24,12,17.0,17.0
Quick,Quick,none,InsertPost,insert_1,6,Failed,4065,9111,0,0,0,0.009871000424027445,0.008709999616257845,0.00025399995502084494,0.01858100004028529,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_1,7,Failed,922,2138,0,0,0,0.0023670003283768892,0.0023399997735396028,0.00023699994198977947,0.004707000101916492,24,24,12,17.0,17.0
Quick,Quick,none,InsertPost,insert_1,8,Failed,6008,13371,0,0,0,0.013600001228041949,0.011995998793281613,0.0002669999375939369,0.02559600002132356,12,12,12,4.0,4.0
Quick,Quick,none,InsertPost,insert_1,9,Failed,2911,6830,0,0,0,0.007667002151720226,0.0066479978850111365,0.0002549999626353383,0.014315000036731362,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_2,0,Failed,19128,43143,0,0,0,0.04910600127186626,0.04278599878307432,0.0003060000017285347,0.09189200005494058,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,1,Failed,24455,55247,0,0,0,0.051941997138783336,0.047744002775289104,0.00030499999411404133,0.09968599991407244,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,2,Failed,108,267,0,0,0,0.000278000021353364,0.0011190000222995875,0.00045499997213482857,0.0013970000436529515,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,3,Failed,12173,26891,0,0,0,0.025259996415115893,0.024457003572024405,0.0018570000538602471,0.0497169999871403,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,4,Failed,10160,22719,0,0,0,0.02313399501144886,0.0208550050156191,0.00030499999411404133,0.04398900002706796,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_2,5,Failed,4987,11155,0,0,0,0.011139998445287349,0.00994800159242004,0.00026300002355128527,0.02108800003770739,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,6,Failed,866,1974,0,0,0,0.0024699997156858444,0.002198000205680728,0.00030800001695752144,0.004667999921366572,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,7,Failed,856,1900,0,0,0,0.003051000298000872,0.002832999685779214,0.000345999957062304,0.005883999983780086,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,8,Failed,1695,3724,0,0,0,0.004763999255374074,0.003529000678099692,0.0002850000746548176,0.008292999933473766,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_2,9,Failed,587,1336,0,0,0,0.00158400007057935,0.0015249998541548848,0.00023100001271814108,0.003108999924734235,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_3,0,Failed,47823309,107731756,0,0,0,97.81552724621724,84.61618175369219,0.0014540000120177865,182.43170899990943,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_3,1,Failed,21694994,48874784,0,0,0,46.342041936004534,40.00709306402132,0.00046300003305077553,86.34913500002585,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_3,2,Failed,7925111,17857544,0,0,0,16.269868002156727,14.022564997896552,0.00033899990376085043,30.29243300005328,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_3,3,Failed,11941938,26893413,0,0,0,24.577754036174156,21.308922963798977,0.0005710000405088067,45.88667699997313,24,24,12,17.0,17.0
Quick,Quick,none,InsertPost,insert_3,4,Failed,2691721,6063385,0,0,0,5.5805990032386035,4.81572299671825,0.00034600007347762585,10.396321999956854,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_3,5,Failed,5527277,12441040,0,0,0,11.508795041358098,10.022173958597705,0.0005370000144466758,21.530968999955803,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_3,6,Failed,25723792,57966425,0,0,0,52.96816795191262,45.8319030480925,0.0004820000613108278,98.80007100000512,24,24,12,17.0,17.0
Quick,Quick,none,InsertPost,insert_3,7,Failed,12980792,29269167,0,0,0,26.991643115412444,23.42083488451317,0.0005750000709667802,50.41247799992561,12,12,12,5.0,5.0
Quick,Quick,none,InsertPost,insert_3,8,Failed,2398490,5406467,0,0,0,4.948499980499037,4.2978560195770115,0.0005159999709576368,9.246356000076048,18,18,12,11.0,11.0
Quick,Quick,none,InsertPost,insert_3,9,Failed,8317664,18748761,0,0,0,17.166940908296965,14.860318091697991,0.0005139999557286501,32.027258999994956,12,12,12,5.0,5.0
Quick,Quick,none,InsertUnion,insert_1,0,Failed,1,65,0,0,0,6.599992047995329e-05,0.00023300014436244965,0.0001949999714270234,0.00029900006484240294,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,1,Failed,5,47,0,0,0,6.699981167912483e-05,0.0002940001431852579,0.00021600001491606236,0.00036099995486438274,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,2,Failed,13,102,0,0,0,9.800039697438478e-05,0.0002559996210038662,0.00018700002692639828,0.000354000017978251,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,3,Failed,19,255,0,0,0,0.00023099954705685377,0.0003610005369409919,0.00021499989088624716,0.0005920000839978456,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,4,Failed,12,96,0,0,0,9.899982251226902e-05,0.0003390001365914941,0.00019699998665601015,0.0004379999591037631,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,5,Failed,6,73,0,0,0,7.600011304020882e-05,0.0002549999626353383,0.00020300003234297037,0.0003310000756755471,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,6,Failed,0,7,0,0,0,2.49999575316906e-05,0.00019100005738437176,0.00018700002692639828,0.00021600001491606236,19,19,13,10.0,10.0
Quick,Quick,none,InsertUnion,insert_1,7,Failed,1,19,0,0,0,5.500006955116987e-05,0.0002899999963119626,0.000291000003926456,0.0003450000658631325,25,25,13,16.0,16.0
Quick,Quick,none,InsertUnion,insert_1,8,Failed,5,116,0,0,0,0.00011100037954747675,0.0002939996775239706,0.00024800002574920654,0.00040500005707144737,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_1,9,Failed,3,41,0,0,0,5.500006955116987e-05,0.00022099993657320738,0.00018700002692639828,0.00027600000612437725,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,0,Failed,10,113,0,0,0,0.0001059998758137226,0.0002870000898838044,0.00020100001711398363,0.000392999965697527,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,1,Failed,9,111,0,0,0,0.00010399986058473588,0.00027400010731071234,0.00018800003454089165,0.0003779999678954482,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,2,Failed,1,22,0,0,0,3.799994010478258e-05,0.00023000012151896954,0.0002009999006986618,0.0002680000616237521,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,3,Failed,6,61,0,0,0,9.000010322779417e-05,0.0002659998135641217,0.00023900007363408804,0.0003559999167919159,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,4,Failed,16,162,0,0,0,0.00014400016516447067,0.00028499984182417393,0.00021000008564442396,0.0004290000069886446,19,19,13,10.0,10.0
Quick,Quick,none,InsertUnion,insert_2,5,Failed,4,66,0,0,0,8.200027514249086e-05,0.0002659996971487999,0.00022300006821751597,0.00034799997229129076,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,6,Failed,44,397,0,0,0,0.00034799997229129076,0.0004990000743418932,0.00023199990391731265,0.000847000046633184,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,7,Failed,0,4,0,0,0,1.7999904230237007e-05,0.00020100001711398363,0.00019699998665601015,0.00021899992134422064,13,13,13,4.0,4.0
Quick,Quick,none,InsertUnion,insert_2,8,Failed,5,36,0,0,0,5.599984433501959e-05,0.0002500001573935151,0.0002180000301450491,0.0003060000017285347,13,13,13,4.0,4.0
