ts pid rss_mb vsz_mb pcpu pmem cmd
22:59:00 45266 1355.2 1449242.8 20.8 8.3 ./bin/rbt
22:59:05 45266 1436.8 1449242.8 27.1 8.8 ./bin/rbt
22:59:10 45266 1451.6 1449242.8 29.1 8.9 ./bin/rbt
22:59:15 45266 1940.6 1449242.8 19.0 11.8 ./bin/rbt
22:59:20 45266 1834.4 1449242.8 18.4 11.2 ./bin/rbt
22:59:25 45266 1815.6 1449242.8 22.3 11.1 ./bin/rbt
22:59:30 45266 1680.1 1449242.8 19.0 10.3 ./bin/rbt
22:59:35 45266 1903.3 1449242.8 16.8 11.6 ./bin/rbt
22:59:40 45266 1904.5 1449242.8 15.3 11.6 ./bin/rbt
22:59:45 45266 1790.4 1449242.8 20.3 10.9 ./bin/rbt
22:59:51 45266 2196.7 1449242.8 25.5 13.4 ./bin/rbt
22:59:56 45266 2298.3 1449242.8 30.4 14.0 ./bin/rbt
23:00:01 45266 2275.0 1449242.8 25.1 13.9 ./bin/rbt
23:00:06 45266 2106.8 1449242.8 24.4 12.9 ./bin/rbt
23:00:11 45266 1943.0 1449242.8 31.2 11.9 ./bin/rbt
23:00:16 45266 1654.7 1449242.8 23.8 10.1 ./bin/rbt
23:00:21 45266 1630.1 1449242.8 21.7 9.9 ./bin/rbt
23:00:26 45266 1789.2 1449242.8 21.0 10.9 ./bin/rbt
23:00:31 45266 1568.1 1449242.8 13.0 9.6 ./bin/rbt
23:00:36 45266 1358.1 1449242.8 17.2 8.3 ./bin/rbt
23:00:41 45266 1593.4 1449242.8 17.0 9.7 ./bin/rbt
23:00:46 45266 1512.6 1449242.8 17.4 9.2 ./bin/rbt
23:00:51 45266 1817.1 1449242.8 17.9 11.1 ./bin/rbt
23:00:56 45266 1826.6 1449242.8 17.7 11.1 ./bin/rbt
23:01:01 45266 1628.7 1449242.8 14.0 9.9 ./bin/rbt
23:01:06 45266 1529.0 1449242.8 11.9 9.3 ./bin/rbt
23:01:11 45266 1500.8 1449242.8 43.0 9.2 ./bin/rbt
23:01:16 45266 1665.4 1449242.8 45.9 10.2 ./bin/rbt
23:01:21 45266 1857.2 1449242.8 37.5 11.3 ./bin/rbt
23:01:26 45266 1705.7 1449242.8 39.2 10.4 ./bin/rbt
23:01:31 45266 1635.9 1449242.8 25.6 10.0 ./bin/rbt
23:01:36 45266 1563.4 1449242.8 23.1 9.5 ./bin/rbt
23:01:41 45266 1471.3 1449242.8 24.9 9.0 ./bin/rbt
23:01:46 45266 1317.2 1449242.8 24.2 8.0 ./bin/rbt
23:01:51 45266 1538.1 1449242.8 31.2 9.4 ./bin/rbt
23:01:56 45266 1496.9 1449242.8 36.2 9.1 ./bin/rbt
23:02:01 45266 1494.3 1449242.8 41.6 9.1 ./bin/rbt
23:02:06 45266 1644.3 1449242.8 23.2 10.0 ./bin/rbt
23:02:11 45266 1658.5 1449242.8 23.9 10.1 ./bin/rbt
23:02:16 45266 1536.9 1449242.8 25.7 9.4 ./bin/rbt
23:02:21 45266 1443.5 1449242.8 24.1 8.8 ./bin/rbt
23:02:26 45266 1928.0 1449242.8 39.6 11.8 ./bin/rbt
23:02:31 45266 1703.8 1449242.8 35.4 10.4 ./bin/rbt
23:02:36 45266 1779.6 1449242.8 40.2 10.9 ./bin/rbt
23:02:41 45266 2020.0 1449242.8 29.7 12.3 ./bin/rbt
23:02:46 45266 1749.7 1449242.8 32.8 10.7 ./bin/rbt
23:02:51 45266 1767.3 1449242.8 28.0 10.8 ./bin/rbt
23:02:56 45266 1764.5 1449242.8 31.3 10.8 ./bin/rbt
23:03:01 45266 1748.1 1449242.8 63.0 10.7 ./bin/rbt
23:03:07 45266 2323.9 1449242.8 64.7 14.2 ./bin/rbt
23:03:12 45266 2311.3 1449242.8 58.8 14.1 ./bin/rbt
23:03:17 45266 2029.3 1449242.8 50.5 12.4 ./bin/rbt
23:03:22 45266 2395.7 1449242.8 57.9 14.6 ./bin/rbt
23:03:27 45266 2123.4 1449242.8 47.9 13.0 ./bin/rbt
23:03:32 45266 2337.3 1449242.8 50.1 14.3 ./bin/rbt
23:03:37 45266 2348.3 1449242.8 12.0 14.3 ./bin/rbt
23:03:42 45266 2449.7 1449242.8 56.6 15.0 ./bin/rbt
23:03:47 45266 2120.2 1449242.8 49.4 12.9 ./bin/rbt
23:03:52 45266 2148.2 1449242.8 52.4 13.1 ./bin/rbt
23:03:57 45266 1994.1 1449242.8 34.3 12.2 ./bin/rbt
23:04:02 45266 2217.5 1449242.8 43.9 13.5 ./bin/rbt
23:04:07 45266 2129.8 1449242.8 32.4 13.0 ./bin/rbt
23:04:12 45266 1895.3 1449242.8 32.8 11.6 ./bin/rbt
23:04:17 45266 2186.1 1449242.8 31.6 13.3 ./bin/rbt
23:04:22 45266 1648.9 1449242.8 28.1 10.1 ./bin/rbt
23:04:27 45266 1740.3 1449242.8 38.2 10.6 ./bin/rbt
23:04:32 45266 1755.0 1449242.8 52.6 10.7 ./bin/rbt
23:04:37 45266 1157.2 1449242.8 6.0 7.1 ./bin/rbt
23:04:42 45266 771.8 1449242.8 48.7 4.7 ./bin/rbt
23:04:47 45266 575.5 1449242.8 49.3 3.5 ./bin/rbt
23:04:52 45266 1431.7 1449242.8 49.6 8.7 ./bin/rbt
23:04:57 45266 1449.8 1449242.8 48.2 8.8 ./bin/rbt
23:05:02 45266 543.9 1449242.8 30.6 3.3 ./bin/rbt
23:05:07 45266 1662.6 1449242.8 26.4 10.1 ./bin/rbt
23:05:12 45266 533.4 1449242.8 16.9 3.3 ./bin/rbt
23:05:17 45266 412.2 1449242.8 17.8 2.5 ./bin/rbt
23:05:22 45266 302.2 1449242.8 10.3 1.8 ./bin/rbt
23:05:27 45266 324.0 1449242.8 15.0 2.0 ./bin/rbt
23:05:32 45266 127.3 1449242.8 13.4 0.8 ./bin/rbt
23:05:38 45266 769.5 1449242.8 15.9 4.7 ./bin/rbt
23:05:43 45266 1237.3 1449242.8 14.3 7.6 ./bin/rbt
23:05:48 45266 840.6 1449242.8 10.6 5.1 ./bin/rbt
23:05:53 45266 962.4 1449242.8 14.0 5.9 ./bin/rbt
23:05:58 45266 1011.7 1449242.8 24.9 6.2 ./bin/rbt
23:06:03 45266 81.1 1449242.8 1.6 0.5 ./bin/rbt
23:06:08 45266 290.4 1449242.8 18.9 1.8 ./bin/rbt
23:06:13 45266 395.0 1449242.8 16.0 2.4 ./bin/rbt
23:06:18 45266 193.8 1449242.8 18.7 1.2 ./bin/rbt
23:06:23 45266 150.4 1449242.8 20.6 0.9 ./bin/rbt
23:06:28 45266 1798.0 1449242.8 22.5 11.0 ./bin/rbt
23:06:33 45266 432.8 1449242.8 20.9 2.6 ./bin/rbt
23:06:38 45266 975.3 1449242.8 27.6 6.0 ./bin/rbt
23:06:43 45266 396.8 1449242.8 21.9 2.4 ./bin/rbt
23:06:48 45266 1410.7 1449242.8 27.1 8.6 ./bin/rbt
23:06:53 45266 1416.0 1449242.8 34.1 8.6 ./bin/rbt
23:06:58 45266 2531.0 1449242.8 31.9 15.4 ./bin/rbt
23:07:03 45266 2119.5 1449242.8 27.3 12.9 ./bin/rbt
23:07:08 45266 1771.2 1449242.8 38.6 10.8 ./bin/rbt
23:07:13 45266 1331.6 1449242.8 20.0 8.1 ./bin/rbt
23:07:18 45266 630.3 1449242.8 19.8 3.8 ./bin/rbt
23:07:23 45266 860.0 1449242.8 22.8 5.2 ./bin/rbt
23:07:28 45266 323.5 1449242.8 15.0 2.0 ./bin/rbt
23:07:33 45266 825.2 1449242.8 23.2 5.0 ./bin/rbt
23:07:38 45266 290.8 1449242.8 17.9 1.8 ./bin/rbt
23:07:44 45266 642.8 1449242.8 19.9 3.9 ./bin/rbt
23:07:54 81589 1918.7 1449233.8 182.8 11.7 ./bin/rbt
23:07:59 81589 4124.7 1449234.8 215.3 25.2 ./bin/rbt
23:08:04 81589 5546.7 1449234.8 109.5 33.9 ./bin/rbt
23:08:09 81589 6758.7 1449234.8 108.7 41.3 ./bin/rbt
23:08:14 81589 7252.4 1449234.8 111.0 44.3 ./bin/rbt
23:08:19 81589 6851.8 1449234.8 149.1 41.8 ./bin/rbt
23:08:24 82351 1332.7 1449241.3 118.9 8.1 ./bin/rbt
23:08:29 82351 3812.7 1449242.3 107.4 23.3 ./bin/rbt
23:08:34 82351 3812.0 1449242.3 85.9 23.3 ./bin/rbt
23:08:39 82351 4304.1 1449242.3 107.3 26.3 ./bin/rbt
23:08:44 82351 5402.5 1449242.3 108.7 33.0 ./bin/rbt
23:08:49 82351 4910.7 1449242.3 104.1 30.0 ./bin/rbt
23:09:04 85719 0.0 400504.5 0.0 0.0 ./bin/rbt
23:09:09 85729 1374.7 1449234.3 126.0 8.4 ./bin/rbt
23:09:14 85729 4049.7 1449234.3 110.2 24.7 ./bin/rbt
23:09:19 85729 4579.1 1449234.3 108.5 27.9 ./bin/rbt
23:09:24 85729 5357.7 1449234.3 152.4 32.7 ./bin/rbt
23:09:29 85729 5539.1 1449234.3 108.1 33.8 ./bin/rbt
23:09:34 86483 53.6 1449232.8 0.0 0.3 ./bin/rbt
23:09:39 86483 2310.7 1449234.8 168.1 14.1 ./bin/rbt
23:09:44 86483 3972.7 1449234.8 149.5 24.2 ./bin/rbt
23:09:49 86483 5269.7 1449234.8 108.2 32.2 ./bin/rbt
23:09:54 86483 5651.7 1449234.8 110.1 34.5 ./bin/rbt
23:09:59 86483 5651.7 1449234.8 109.1 34.5 ./bin/rbt
